Type,Address,RetiredAt
IPv4,109.235.72.0/21,
IPv4,130.193.5.0/24,
IPv4,185.123.55.0/24,
IPv4,185.54.112.0/22,
IPv4,185.78.196.0/22,
IPv4,193.33.220.0/24,
IPv4,2.57.56.0/24,
IPv4,37.46.136.0/21,
IPv4,37.72.138.0/24,
IPv4,45.134.223.0/24,
IPv4,46.253.137.0/24,
IPv4,62.129.139.0/24,
IPv4,62.129.149.0/24,
IPv4,80.85.160.0/23,
IPv4,80.85.161.0/24,
IPv4,81.24.0.0/22,
IPv4,81.24.10.0/23,
IPv4,81.24.4.0/22,
IPv4,81.24.4.0/24,
IPv4,81.24.6.0/23,
IPv4,81.24.8.0/22,
IPv4,81.24.9.0/24,
IPv4,85.158.200.0/21,
IPv4,93.94.224.0/21,
IPv4,93.94.231.0/24,
IPv6,2001:678:c50::/48,
IPv6,2a01:518::/32,
IPv6,2a05:6cc0::/29,
IPv4,109.235.75.0/24,2026-06-21T04:05:03.501045+00:00
IPv4,85.158.205.0/24,2026-06-21T04:05:03.501045+00:00
IPv4,80.85.160.0/24,2026-06-21T04:05:03.501045+00:00
IPv4,93.94.229.0/24,2026-06-21T04:05:03.501045+00:00
IPv4,85.158.206.0/24,2026-06-21T04:05:03.501045+00:00
IPv6,2a01:518:ffff::/48,2026-06-21T04:05:03.501045+00:00
